transactionId;partner;totalValue
95373496;Triggit;98.73
95369296;Criteo;518.73
95366496;Sociomantic;74.81
95362496;Triggit;129.9
95358496;Criteo;119.9
95349496;Triggit;189.9
95346296;Criteo;177.8
95331496;Criteo;139.9
95327496;Triggit;199.9
95324296;Triggit;199.9
95318496;Criteo;109.9
95316296;Criteo;159.9
95312296;Criteo;97.83
95298496;Criteo;88.85
95297496;Criteo;129.9
95277296;Triggit;179.9
95275496;Criteo;107.5
95269296;Criteo;90.81
95268496;Criteo;179.9
95253366;Criteo;308.83
95252296;Criteo;159.9
95251496;Triggit;179.9
95247296;Criteo;161.8
95239296;Triggit;199.9
95236496;Criteo;85.71
95225496;Triggit;83.71
95219496;Criteo;375.4
95217496;Triggit;99.9
95198296;Triggit;119.8
95186296;Criteo;289.9
95184496;Criteo;91.22
95179496;Triggit;104.0
95164496;Criteo;357.9
95164296;Criteo;59.73
95162296;Triggit;129.9
95158496;Criteo;58.81
95158296;Criteo;223.8
95153366;Criteo;140.7
95144296;Criteo;569.73
95134296;Triggit;179.9
95124296;Triggit;105.8
95122496;Criteo;229.9
94993496;Criteo;128.8
94992296;Criteo;399.8
94985296;Sociomantic;62.86
94973496;Criteo;139.9
94965296;Criteo;310.63
94949496;Criteo;232.9
94949296;Criteo;93.81
94934296;Criteo;85.81
94932296;Criteo;34.71
94924496;Criteo;108.73
94924296;Triggit;119.9
94896496;Vizury;188.8
94867496;Criteo;159.9
94865296;Criteo;109.9
94863496;Criteo;259.9
94862296;Criteo;63.51
94847296;Criteo;1459.73
94839296;Criteo;159.73
94833496;Triggit;219.9
94833366;Criteo;151.8
94828296;Criteo;159.9
94816496;Criteo;119.9
94812496;Mainadv;123.8
94789496;Criteo;289.9
94785296;Triggit;139.9
94778496;Criteo;159.9
94764296;Criteo;269.73
94746296;Triggit;139.9
94744296;Triggit;58.73
94742496;Criteo;199.8
94734496;Triggit;259.9
94712496;Criteo;109.9
94698296;Criteo;175.92
94697296;Vizury;64.81
94662296;Vizury;99.9
94658296;Triggit;109.9
94654496;Criteo;109.9
94648296;Criteo;279.8
94644496;Criteo;114.8
94636496;Triggit;127.9
94633496;Triggit;259.8
94632496;Triggit;54.81
94625296;Criteo;269.9
94622296;Criteo;199.9
94585496;Triggit;82.73
94584496;Triggit;209.9
94582496;Criteo;151.7
94574496;Criteo;335.68
